,context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n,time_epochs
7812,jc3,SMAPE,Future Session Activity,40.72547090090952,RNN env even,2,27088.04045915604,1501341,32,3,846.5012643486263
7813,jc3,SMAPE,Future Session Activity,38.06725988823165,RNN env even,3,27088.04045915604,1501341,32,3,846.5012643486263
7814,jc3,SMAPE,Future Session Activity,37.18987525509205,RNN env even,4,27088.04045915604,1501341,32,3,846.5012643486263
7815,jc3,SMAPE,Future Session Activity,36.23595035553349,RNN env even,5,27088.04045915604,1501341,32,3,846.5012643486263
7816,jc3,SMAPE,Future Session Activity,35.99990686481973,RNN env even,6,27088.04045915604,1501341,32,3,846.5012643486263
7817,jc3,SMAPE,Future Session Activity,35.75086315273526,RNN env even,7,27088.04045915604,1501341,32,3,846.5012643486263
7818,jc3,SMAPE,Future Session Activity,35.3326111492272,RNN env even,8,27088.04045915604,1501341,32,3,846.5012643486263
7819,jc3,SMAPE,Future Session Activity,35.33466959436388,RNN env even,9,27088.04045915604,1501341,32,3,846.5012643486263
7820,jc3,SMAPE,Future Session Activity,34.73079989074793,RNN env even,10,27088.04045915604,1501341,32,3,846.5012643486263
7821,jc3,SMAPE,Future Session Activity,34.76522028953441,RNN env even,11,27088.04045915604,1501341,32,3,846.5012643486263
7822,jc3,SMAPE,Future Session Activity,34.53533831108099,RNN env even,12,27088.04045915604,1501341,32,3,846.5012643486263
7823,jc3,SMAPE,Future Session Activity,34.320749088122945,RNN env even,13,27088.04045915604,1501341,32,3,846.5012643486263
7824,jc3,SMAPE,Future Session Activity,34.43107102166338,RNN env even,14,27088.04045915604,1501341,32,3,846.5012643486263
7825,jc3,SMAPE,Future Session Activity,33.95276987876036,RNN env even,15,27088.04045915604,1501341,32,3,846.5012643486263
7826,jc3,SMAPE,Future N° Sessions,47.68248188855236,RNN env even,2,27088.04045915604,1501341,32,3,846.5012643486263
7827,jc3,SMAPE,Future N° Sessions,39.32751896775028,RNN env even,3,27088.04045915604,1501341,32,3,846.5012643486263
7828,jc3,SMAPE,Future N° Sessions,36.3834766708904,RNN env even,4,27088.04045915604,1501341,32,3,846.5012643486263
7829,jc3,SMAPE,Future N° Sessions,35.51847516739885,RNN env even,5,27088.04045915604,1501341,32,3,846.5012643486263
7830,jc3,SMAPE,Future N° Sessions,35.072826242555436,RNN env even,6,27088.04045915604,1501341,32,3,846.5012643486263
7831,jc3,SMAPE,Future N° Sessions,34.953741872779375,RNN env even,7,27088.04045915604,1501341,32,3,846.5012643486263
7832,jc3,SMAPE,Future N° Sessions,35.20814664092589,RNN env even,8,27088.04045915604,1501341,32,3,846.5012643486263
7833,jc3,SMAPE,Future N° Sessions,35.58901734353173,RNN env even,9,27088.04045915604,1501341,32,3,846.5012643486263
7834,jc3,SMAPE,Future N° Sessions,35.547817085727786,RNN env even,10,27088.04045915604,1501341,32,3,846.5012643486263
7835,jc3,SMAPE,Future N° Sessions,36.08870155665163,RNN env even,11,27088.04045915604,1501341,32,3,846.5012643486263
7836,jc3,SMAPE,Future N° Sessions,36.32489068526603,RNN env even,12,27088.04045915604,1501341,32,3,846.5012643486263
7837,jc3,SMAPE,Future N° Sessions,36.754441508383316,RNN env even,13,27088.04045915604,1501341,32,3,846.5012643486263
7838,jc3,SMAPE,Future N° Sessions,36.87307635944495,RNN env even,14,27088.04045915604,1501341,32,3,846.5012643486263
7839,jc3,SMAPE,Future N° Sessions,37.08336953224108,RNN env even,15,27088.04045915604,1501341,32,3,846.5012643486263
7840,lisbf,SMAPE,Future Absence,49.66027757273077,RNN env even,2,27088.04045915604,1501341,32,3,846.5012643486263
7841,lisbf,SMAPE,Future Absence,50.01211053070323,RNN env even,3,27088.04045915604,1501341,32,3,846.5012643486263
7842,lisbf,SMAPE,Future Absence,49.683949086329285,RNN env even,4,27088.04045915604,1501341,32,3,846.5012643486263
7843,lisbf,SMAPE,Future Absence,49.554428288974826,RNN env even,5,27088.04045915604,1501341,32,3,846.5012643486263
7844,lisbf,SMAPE,Future Absence,49.73742580842132,RNN env even,6,27088.04045915604,1501341,32,3,846.5012643486263
7845,lisbf,SMAPE,Future Absence,49.33168874501323,RNN env even,7,27088.04045915604,1501341,32,3,846.5012643486263
7846,lisbf,SMAPE,Future Absence,49.211678830339764,RNN env even,8,27088.04045915604,1501341,32,3,846.5012643486263
7847,lisbf,SMAPE,Future Absence,49.20616368041125,RNN env even,9,27088.04045915604,1501341,32,3,846.5012643486263
7848,lisbf,SMAPE,Future Absence,49.13596356390197,RNN env even,10,27088.04045915604,1501341,32,3,846.5012643486263
7849,lisbf,SMAPE,Future Absence,49.38871710229911,RNN env even,11,27088.04045915604,1501341,32,3,846.5012643486263
7850,lisbf,SMAPE,Future Absence,50.32880552663717,RNN env even,12,27088.04045915604,1501341,32,3,846.5012643486263
7851,lisbf,SMAPE,Future Absence,49.977594542709916,RNN env even,13,27088.04045915604,1501341,32,3,846.5012643486263
7852,lisbf,SMAPE,Future Absence,50.50079571457091,RNN env even,14,27088.04045915604,1501341,32,3,846.5012643486263
7853,lisbf,SMAPE,Future Absence,50.097381445740005,RNN env even,15,27088.04045915604,1501341,32,3,846.5012643486263
7854,lisbf,SMAPE,Future Active Time,13.378481717195434,RNN env even,2,27088.04045915604,1501341,32,3,846.5012643486263
